rank,asin,title,brand,price,unit_price,count,rating,review_count,timestamp
1,B07DX89ZHN,"Sports Research® Omega-3 Fish Oil 1250mg from Wild Alaska Pollock, 90 Count | Always Fresh Never Fishy, 690mg EPA & 260 DHA per Softgel, MSC Certified Sustainable, Heart & Brain Health, Non-GMO, Soy Free",Sports Research,27.95,0.3106,90,4.7,60344,2026-06-21T02:40:38Z
2,B07QHP2ZNQ,"Nordic Naturals Ultimate Omega, Lemon Flavor - 210 Soft Gels - 1280 mg Omega-3 - High-Potency Fish Oil with EPA & DHA - Promotes Brain & Heart Health - Non-GMO - 105 Servings",Nordic Naturals,72.21,0.3439,210,4.7,58932,2026-06-21T02:40:38Z
3,B000NPYY04,"Nature's Bounty Fish Oil Omega 3 Supplements - Supports Heart Health, 1200 Mg Fish Oil, Omega-3, 200 Softgels (Pack of 1)",Nature's Bounty,13.99,0.0699,200,4.7,75437,2026-06-21T02:40:38Z
4,B01NBTJFJB,Triple Strength Omega 3 Fish Oil 3600 mg | EPA & DHA | Over 2100mg Omega-3 Fatty Acids | 1300mg EPA + 860mg DHA | Best Essential Fatty Acids | Premium Wild Caught & Burpless Fish Oil | 120 Ct,,34.95,0.2913,120,4.6,29762,2026-06-21T02:40:38Z
5,B071VT9J98,"Nature Made Fish Oil Omega 3 Supplements, 1200 mg Softgels, Omega 3 Fish Oil for Healthy Heart Support, 230 Softgels, 115 Day Supply",Nature Made,15.33,0.0667,230,4.8,11027,2026-06-21T02:40:38Z
6,B075ZTY6GR,"Nordic Naturals Omega-3, Lemon Flavor - 90 Soft Gels - 690 mg Omega-3 - Fish Oil - EPA & DHA - Immune Support, Brain & Heart Health, Optimal Wellness - Non-GMO - 45 Servings",Nordic Naturals,22.49,0.2499,90,4.7,13414,2026-06-21T02:40:38Z
7,B0C5F59RWG,NatureWise Extra-Strength Omega 3 Fish Oil Supplement - 1000mg per Serving - 600 EPA & 400 DHA and Vitamin E - Sustainably Sourced Fish Oil - Lemon Flavor - 60 Softgels[1-Month Supply],NatureWise,7.99,0.1332,60,4.7,9426,2026-06-21T02:40:38Z
8,B014LDT0ZM,"Triple Strength Omega 3 Fish Oil Supplement for Men and Women – 2500 mg High-Potency, Easy-to-Absorb Re-esterified Triglyceride Form, Pescatarian-Friendly DPA EPA DHA Omega 3 Supplement, 180 Softgels",,53.95,0.2997,180,4.7,14047,2026-06-21T02:40:38Z
9,B0184SMS9A,"MegaRed Antarctic Krill Oil 500mg Omega 3 Fatty Acid Supplement, Extra Strength EPA & DHA Krill Oil Softgels (90cnt Box), Astaxanthin, Heart Health Supplement with No Fish Oil Aftertaste",MegaRed,26.88,,,4.8,8022,2026-06-21T02:40:38Z
10,B0046XC528,"Nature Made Fish Oil Omega 3 Supplements, 1000mg Softgels, Omega 3 Fish Oil for Healthy Heart Support, 250 Softgels, 125 Day Supply",Nature Made,19.59,0.0784,250,4.8,47475,2026-06-21T02:40:38Z
11,B098KLWZHN,"Nutricost Omega 3 Fish Oil - 2500MG, 120 Softgels (40 Serv) - Fish Oil, Wild Caught! 1200mg EPA 850mg DHA - Non-GMO, Gluten Free",Nutricost,20.95,0.1746,120,4.7,3380,2026-06-21T02:40:38Z
12,B0018CJ17W,"THORNE - Super EPA - Omega-3 Fish Oil Supplement with EPA & DHA from Sustainably Sourced Fish - Supports Brain, Skin, Joint & Heart Health* - Third-Party Certified - Gluten & Dairy-Free - 90 Softgels",Thorne,41.0,0.4556,90,4.6,3090,2026-06-21T02:40:38Z
13,B001GCU6KA,"NOW Foods Supplements, Omega-3 180 EPA / 120 DHA, Molecularly Distilled, Cardiovascular Support*, 200 Softgels",NOW Foods,14.27,0.0713,200,4.7,16356,2026-06-21T02:40:38Z
17,B06XPPP4M2,"Nordic Naturals Ultimate Omega 2X, Lemon Flavor - 120 Soft Gels - 2150 mg Omega-3 - High-Potency Fish Oil with EPA & DHA - Promotes Brain & Heart Health - Non-GMO - 60 Servings",Nordic Naturals,83.26,0.6938,120,4.6,5900,2026-06-21T02:40:38Z
18,B07V9P1L27,"Nordic Naturals Ultimate Omega-D3, Lemon Flavor - 90 Soft Gels - 1280 mg Omega-3 + 1000 IU Vitamin D3 - EPA & DHA - Promotes Brain, Heart, & Immune Health - 45 Servings",Nordic Naturals,37.36,0.4151,90,4.7,8204,2026-06-21T02:40:38Z
19,B07BBNGPG2,"Amazon Basics Fish Oil 303 mg, Soft Chew Gummies, Lemon, Orange & Strawberry-Banana Flavors, 90 Count, EPA and DHA Omega-3 Fatty Acids (Previously Solimo)",Amazon Basics,8.09,0.0899,90,4.6,8780,2026-06-21T02:40:38Z
