rank,asin,title,brand,price,unit_price,count,rating,review_count,timestamp
51,B0062CW1BG,"Nordic Naturals Prenatal DHA, Unflavored - 180 Soft Gels - 830 mg Omega-3 + 400 IU Vitamin D3 - Supports Brain Development in Babies During Pregnancy & Lactation - Non-GMO - 90 Servings",Nordic Naturals,46.71,0.2595,180,4.8,6207,2026-06-15T02:41:53Z
52,B01DCHM1UE,"MegaRed Omega 3 Fish Oil & Antarctic Krill Oil Softgels for Brain, Heart, Joints & Eye Support, (80 Count Bottle), Concentrated Omega 3 Fatty Acid Supplement with EPA, DHA, Phospholipids",MegaRed,29.97,0.3746,80,4.7,13405,2026-06-15T02:41:53Z
53,B00UG078PE,"Metagenics OmegaGenics Omega-3 Fish Oil 1000mg EPA DHA -High Potency Omega 3 Supplement for Heart, Brain & Joint Health-Sustainably Sourced- 60 Softgels",Metagenics,48.75,0.8125,60,4.7,1596,2026-06-15T02:41:53Z
54,B0B71Z69WK,"Livingood Daily Omega 3 6 9 Plus Turmeric Curcumin Supplement, 60 Softgels",Livingood,39.95,0.6658,60,4.6,2309,2026-06-15T02:41:53Z
55,B0B523YQS7,"Qunol Fish Oil Omega 3 Mini Softgels, 1000mg Omega 3 EPA + DHA, Ultra Pure Supplements, Heart Health Support, Lemon Flavor, Easy to Swallow Minis, 3 Month Supply, 180 Count",Qunol,23.27,0.1293,180,4.6,4998,2026-06-15T02:41:53Z
56,B005D0DSLA,"Vitafusion Omega-3 Gummy Vitamins, Berry Lemonade Flavored, Heart Health Vitamins(1) With Omega 3 EPA/DHA and Vitamins A, C, D and E, America’s Number 1 Vitamin Brand, 60 Day Supply, 120 Count",,11.99,0.0999,120,4.6,12484,2026-06-15T02:41:53Z
57,B000SE5SY6,"NOW Foods Supplements, Ultra Omega-3 Molecularly Distilled and Enteric Coated, 180 Softgels",NOW Foods,17.4,0.0967,180,4.8,4214,2026-06-15T02:41:53Z
58,B08NXT9T9M,"Bronson Antarctic Krill Oil 2000mg with Omega-3s EPA, DHA, Astaxanthin and Phospholipids 120 Softgels",Bronson,19.97,0.1664,120,4.6,6901,2026-06-15T02:41:53Z
59,B09GYWZ2LP,"Icelandic Wild Caught Cod Liver Oil Softgels - Fish Omega 3, EPA, DHA, Vitamin D & A, 1000mg Per Serving - Burpless Capsules for Heart, Joint, Brain & Immune Support - 100 Count",Icelandic,17.99,0.1799,100,4.7,4071,2026-06-15T02:41:53Z
60,B081VWWGCZ,"Carlson - Elite Omega-3 Gems, 1600 mg Omega-3 Fatty Acids Including EPA and DHA, Norwegian, Wild-Caught Fish Oil Supplement, Sustainably Sourced Omega 3 Fish Oil Capsules, Lemon, 130 Softgels",Carlson,42.42,0.3263,130,4.8,2153,2026-06-15T02:41:53Z
61,B006P4B43W,"Life Extension Super Omega-3 EPA/DHA Fish Oil, Sesame Lignans & Olive Extract – Heart Health, Brain Health, Inflammation Health Support, Gluten-Free, Easy to Swallow, Non-GMO, 240 Softgels",Life Extension,27.75,0.1156,240,4.5,5545,2026-06-15T02:41:53Z
62,B01EVITLHE,Purity Products Omega 3-6-9 Vegan and Vegetarian Formula - “5 in 1” Essential Fatty Acid Complex - Scientifically Formulated Plant-Based Omega 3 6 9 Essential Fatty Acids (EFA) - from (60),Purity Products,15.95,,,4.7,4754,2026-06-15T02:41:53Z
63,B092LLQ9DJ,"Momentous Omega-3 Fish Oil - High-Potency EPA & DHA Supplement for Men & Women - Supports Heart, Joint, & Brain Health - NSF Certified for Sport - Non-GMO - Gluten-Free - 1,600 mg - 30 Servings",,39.95,1.3317,30,4.6,457,2026-06-15T02:41:53Z
64,B07BH41QJQ,Pure Encapsulations EPA/DHA Essentials - Fish Oil Concentrate Supplement to Support Cardiovascular Health* - Premium EPA & DHA Supplement with Omega 3-90 Softgel Capsules,Pure Encapsulations,41.5,0.4611,90,4.7,1660,2026-06-15T02:41:53Z
65,B001LF39RE,"Carlson - The Very Finest Fish Oil, 1600 mg Omega-3s, Liquid Fish Oil Supplement, Norwegian Fish Oil, Wild-Caught, Sustainably Sourced Fish Oil Liquid, Lemon, 200ml, 6.7 Fl Oz",Carlson,29.67,,,4.8,7500,2026-06-15T02:41:53Z
66,B00014D08Y,"Carlson - Cod Liver Oil, 1100 mg Omega-3s, Liquid Fish Oil Supplement, Wild-Caught Norwegian Arctic, Sustainably Sourced Nordic Liquid, Lemon, 250 ml",Carlson,33.07,,,4.8,11987,2026-06-15T02:41:53Z
67,B00126FELQ,"Nature Made Flaxseed Oil 1000 mg, Fish Free Omega 3 Supplement, Dietary Supplement for Heart Health Support, 100 Softgels, 100 Day Supply",Nature Made,10.52,0.1052,100,4.7,7796,2026-06-15T02:41:53Z
