rank,asin,title,brand,price,rating,review_count,timestamp
16,B0714PK8VV,"Black Seed Oil - 120 Softgel Capsules Skin Health (Non-GMO & Vegan) Cold-Pressed Nigella Sativa Producing Pure Black Cumin Seed Oil with Vitamin E - 500mg Each, 1000mg Per 2 Capsule Serving",Black,31.09,4.5,52576,2026-03-23T22:40:21Z
17,B0018CJ17W,"THORNE - Super EPA - Omega-3 Fish Oil Supplement with EPA & DHA from Sustainably Sourced Fish - Supports Brain, Skin, Joint & Heart Health* - Third-Party Certified - Gluten & Dairy-Free - 90 Softgels",Thorne,58.34,4.6,2899,2026-03-23T22:40:21Z
18,B07WMZTX28,"Nordic Naturals Zero Sugar Children’s DHA Gummy Chews, Tropical Punch - 30 Gummy Chews for Kids - 600 mg Total Omega-3s - Brain Development, Learning, Healthy Immunity - Non-GMO - 30 Servings",Nordic Naturals,42.67,4.5,5084,2026-03-23T22:40:21Z
19,B07PN7FB1R,Physician's CHOICE Probiotics for Weight Management & Bloating - 6 Probiotic Strains - Prebiotics - Key ingredient Cayenne - Supports Gut Health - Weight Management for Women & Men - Green Tea - 30 CT,Physician's,42.65,4.1,22911,2026-03-23T22:40:21Z
20,B07L45XQBR,"Micro Ingredients Triple Strength Omega 3 Fish Oil Supplements 4200mg Per Serving, 240 Softgels – Lemon Flavored – Burpless | EPA 1200mg + DHA 900mg | Deep Sea Fish",Micro,48.37,4.6,10533,2026-03-23T22:40:21Z
21,B09SRB8BXP,"Nature Made Extra Strength Burp Less Fish Oil Omega 3 Supplements 1400 mg Minis, Omega 3 Fish Oil as Ethyl Esters for Healthy Heart Brain Eyes Support, 60 Softgels, 30 Day Supply",Nature Made,28.17,4.6,4722,2026-03-23T22:40:21Z
22,B0DM1TVJD3,"Herbtonics Apple Cider Vinegar + Keto BHB Capsules | GLP-1 Support for Appetite, Cravings & Weight Management | Metabolism Support with Satiety Support | 60 Capsules - 1 Month Supply",Herbtonics,19.91,4.0,58210,2026-03-23T22:40:21Z
23,B0C158YCVK,"Lemme Burn - Metabolism, Belly Fat Burning + AMPK Activating Supplement for Men & Women w/Clinically Studied Actiponin Gynostemma, Green Tea Extract, Vitamins B6 & B12 - Gluten Free, 60 Count",Lemme,56.9,3.9,3469,2026-03-23T22:40:21Z
24,B07V9NZX7N,"Nordic Naturals Ultimate Omega Jr., Strawberry - 120 Mini Soft Gels - 680 Total Omega-3s with EPA & DHA - Brain Health, Mood, Learning - Non-GMO - 60 Servings",Nordic Naturals,49.53,4.7,5310,2026-03-23T22:40:21Z
25,B002WTCLGI,"Nordic Naturals Children’s DHA, Strawberry - 8 oz for Kids - 530 mg Omega-3 with EPA & DHA - Brain Development & Function - Non-GMO - 96 Servings",Nordic Naturals,42.28,4.6,10109,2026-03-23T22:40:21Z
26,B00CAZAU62,Dr. Tobias Omega 3 Fish Oil 2000mg Triple Strength with 800mg EPA 600mg DHA Per Serving | Fish Oil Omega 3 Supplements for Heart Brain & Immune Support - 180 Softgels (90 Servings),Dr.,56.9,4.6,36795,2026-03-23T22:40:21Z
27,B07V9P1L27,"Nordic Naturals Ultimate Omega-D3, Lemon Flavor - 90 Soft Gels - 1280 mg Omega-3 + 1000 IU Vitamin D3 - EPA & DHA - Promotes Brain, Heart, & Immune Health - 45 Servings",Nordic Naturals,53.16,4.7,8102,2026-03-23T22:40:21Z
28,B008NC7QQS,"Nature Made Extra Strength Flaxseed Oil 1400 mg, Fish Free Omega 3 Supplement, Dietary Supplement for Heart Health Support, 100 Softgels, 100 Day Supply",Nature Made,24.13,4.8,13360,2026-03-23T22:40:21Z
29,B0C294XR2L,Horbäach Pumpkin Seed Oil | 3000mg | 120 Softgel Capsules | Cold Pressed Dietary Supplement | Non-GMO and Gluten Free Formula,Horbäach,14.22,4.5,2497,2026-03-23T22:40:21Z
30,B0DNNF6T7J,"ALPHA LION Burn2O L-Carnitine Liquid 2000mg, Premium Liquid Fat Burner & Pre-Workout Supplement for Men & Women - Natural Energy & Metabolism Booster for Weight Loss - ShredBerry",ALPHA,78.22,4.0,751,2026-03-23T22:40:21Z
31,B076CQXRND,"Zhou Organic Black Seed Oil - Black Cumin Seed Oil Cold Pressed, Nigella Sativa, Pure Unrefined Blackseed Liquid, Premium Supplement for Health with Thymoquinone, Omega 3 6 9 - 8 Fl Oz (Pack of 1)",Zhou,29.73,4.5,24880,2026-03-23T22:40:26Z
32,B01LTHMG4A,"Nordic Naturals Ultimate Omega + CoQ10, Lemon - 120 Soft Gels - 1280 mg Omega-3 + 100 mg CoQ10 - Heart Health, Cellular Energy, Antioxidant Support - Non-GMO - 60 Servings",Nordic Naturals,85.38,4.8,3215,2026-03-23T22:40:26Z
33,B07GSGWZMB,"Carlyle Antarctic Krill Oil 2000 mg 120 Softgels | Omega-3 EPA, DHA, with Astaxanthin Supplement Sourced from Red Krill | Maximum Strength | Laboratory Tested",Carlyle,28.15,4.5,20328,2026-03-23T22:40:26Z
34,B003PGJM00,"Nature Made Triple Omega 3 6 9 Supplements, Flaxseed, Safflower & Olive Oils, Fish Free Omega 3 Fatty Acid Supplement, 150 Softgels, 75 Day Supply",Nature Made,27.02,4.7,10009,2026-03-23T22:40:26Z
35,B0B523YQS7,"Qunol Fish Oil Omega 3 Mini Softgels, 1000mg Omega 3 EPA + DHA, Ultra Pure Supplements, Heart Health Support, Lemon Flavor, Easy to Swallow Minis, 3 Month Supply, 180 Count",Qunol,36.98,4.6,4699,2026-03-23T22:40:26Z
36,B09GYWZ2LP,"Icelandic Wild Caught Cod Liver Oil Softgels - Fish Omega 3, EPA, DHA, Vitamin D & A, 1000mg Per Serving - Burpless Capsules for Heart, Joint, Brain & Immune Support - 100 Count",Icelandic,22.75,4.7,3775,2026-03-23T22:40:26Z
37,B009KTUGSS,"Nordic Naturals Algae Omega - 120 Soft Gels - 715 mg Omega-3 - Certified Vegan Algae Oil - Plant-Based EPA & DHA - Heart, Eye, Immune & Brain Health - Non-GMO - 60 Servings",Nordic Naturals,64.05,4.7,3467,2026-03-23T22:40:26Z
38,B01EVITLHE,Purity Products Omega 3-6-9 Vegan and Vegetarian Formula - “5 in 1” Essential Fatty Acid Complex - Scientifically Formulated Plant-Based Omega 3 6 9 Essential Fatty Acids (EFA) - from (60),Purity,22.7,4.7,4592,2026-03-23T22:40:26Z
39,B0013L5G9U,"Nature’s Bounty Fish Oil, Supports Heart Health, 1000mg, Rapid Release Softgels, 145 Ct",Nature’s,31.15,4.8,4520,2026-03-23T22:40:26Z
40,B001LF39RO,"Carlson - The Very Finest Fish Oil, 1600 mg Omega-3s, Liquid Supplement, Norwegian, Wild-Caught, Sustainably Sourced , Lemon, 16.9 Fl Oz",Carlson,84.55,4.7,7326,2026-03-23T22:40:26Z
41,B07DQYXJYX,"Amazon Elements - Revly Omega 3-6-9, Complex of Fish, Flaxseed and Borage Oil - EPA & DHA Omega-3 fatty acids - 60 Softgels, 2 Month Supply",Amazon,18.04,4.4,6349,2026-03-23T22:40:26Z
42,B07H9GL3Y8,"Freshfield Vegan Omega 3, Algae (Algal) Oil, Fish Oil Free Company, Third Party Tested, Carrageenan Free, DHA Supplement w/DPA, Plant Based Omega. Supports Heart, Brain, Joint Health",Freshfield,36.98,4.6,10677,2026-03-23T22:40:26Z
43,B0CG3SL43Q,"Thermogenic Fat Burner Brazilian Lean, Weight Loss Pills for Women, Waist Trimmer & Supplements for Bloating for Women & Men, 60 Capsules",Thermogenic,27.73,4.1,4766,2026-03-23T22:40:26Z
44,B0758338B2,"Nordic Naturals Ultimate Omega 2X Teen, Strawberry - 60 Mini Soft Gels - 1120 mg Total Omega-3s with EPA & DHA - Brain Health, Positive Mood, Social Development, Learning - Non-GMO - 30 Servings",Nordic Naturals,44.69,4.7,2447,2026-03-23T22:40:26Z
45,B00N55ASK4,"Barlean's Organic Flaxseed Oil Liquid from Fresh Cold Pressed Flax Seeds, 7,640mg ALA Omega 3 Fatty Acid Supplement for Skin and Hair Care, Vegan & Gluten Free, 8 oz",Barlean's,18.56,4.6,12468,2026-03-23T22:40:26Z
46,B006P4B43W,"Life Extension Super Omega-3 EPA/DHA Fish Oil, Sesame Lignans & Olive Extract – Heart Health, Brain Health, Inflammation Health Support, Gluten-Free, Easy to Swallow, Non-GMO, 240 Softgels",Life Extension,39.49,4.5,5308,2026-03-23T22:40:26Z
47,B01MCWCO2Y,"Bronson Antarctic Krill Oil 1000 mg with Omega-3s EPA, DHA, Astaxanthin and Phospholipids 120 Softgels",Bronson,39.83,4.6,14917,2026-03-23T22:40:26Z
48,B00126FELQ,"Nature Made Flaxseed Oil 1000 mg, Fish Free Omega 3 Supplement, Dietary Supplement for Heart Health Support, 100 Softgels, 100 Day Supply",Nature Made,19.82,4.7,7673,2026-03-23T22:40:26Z
49,B00UG078PE,"Metagenics OmegaGenics EPA-DHA 1000 mg - High Potency Omega-3 Fish Oil Supplement for Heart, Brain & Joint Health* - Sustainably Sourced - 60 Softgels",Metagenics,69.37,4.6,1482,2026-03-23T22:40:26Z
50,B000SE5SY6,"NOW Foods Supplements, Ultra Omega-3 Molecularly Distilled and Enteric Coated, 180 Softgels",NOW Foods,39.83,4.8,4033,2026-03-23T22:40:26Z
51,B0797GC3N1,"MAJU Black Seed Oil - 3 Times Thymoquinone, Cold-Pressed, 100% Turkish Black Cumin Seed Oil, Liquid Pure Blackseed, Glass Bottle, 8 oz",MAJU,52.65,4.5,26150,2026-03-23T22:40:26Z
52,B09YVMLZYW,InnoSupps Inno Shred GLP-1 - Thermogenic Support + Appetite Support + Energy* - Berberine + Chromium - 60 Capsules. 30 Servings.,InnoSupps,142.28,4.1,504,2026-03-23T22:40:26Z
53,B07BH41QJQ,Pure Encapsulations EPA/DHA Essentials - Fish Oil Concentrate Supplement to Support Cardiovascular Health - Premium EPA & DHA Supplement with Omega 3-90 Softgel Capsules,Pure Encapsulations,59.05,4.7,1604,2026-03-23T22:40:26Z
54,B01BXLYEQ0,"Jacked Factory Burn-XT Clinically Studied Fat Burner & Weight Loss Supplement - Appetite Suppressant & Energy Booster - with Acetyl L-Carnitine, Green Tea Extract and More - 60 Natural Diet Pills",Jacked,28.43,3.8,76563,2026-03-23T22:40:26Z
55,B07B9MNCRH,"Live Conscious OmegaWell Omega 3 Fish Oil - 2000mg Capsules: Heart, Brain, & Joint Support - 800 mg EPA 600 mg DHA - Sustainably Sourced - Softgels - 30 Day Supply",Live,34.15,4.6,7419,2026-03-23T22:40:26Z
56,B07VF9HB74,"Nordic Naturals DHA Xtra, Strawberry - 90 Soft Gels - 1660 mg Omega-3 - High-Intensity DHA Formula for Brain & Nervous System Support - Non-GMO - 45 Servings",Nordic Naturals,55.58,4.7,3567,2026-03-23T22:40:26Z
57,B0B71Z69WK,"Livingood Daily Omega 3 6 9 Plus Turmeric Curcumin Supplement, 60 Softgels - Fish Oil Omega 3 Supplements (EPA & DHA) for Men and Women - Brain, Joint, Heart Health, and Metabolism - Made in USA",Livingood,56.85,4.6,2158,2026-03-23T22:40:26Z
58,B08SCHPNQM,"Oceanblue Professional Omega-3 2100 – 180 ct – Triple Strength Burpless Fish Oil Supplement with High-Potency EPA, DHA, DPA – Wild-Caught – Orange Flavor (90 Servings)",Oceanblue,57.57,4.5,5836,2026-03-23T22:40:26Z
59,B06XSLW9PY,"Carlson - Elite Omega-3 Gems, 1600 mg Omega-3 Fatty Acids Including EPA and DHA, Norwegian Fish Oil Supplement, Wild Caught, Sustainably Sourced Fish Oil Capsules, Lemon, 90+30 Softgels",Carlson,60.36,4.8,2848,2026-03-23T22:40:26Z
60,B0CC39G8G1,"Sculpt Nation by V Shred Burn Thermogenic Fat Burner for Men & Women - Daytime Fat Burner Metabolism Booster - Premium Capsimax Cayenne Pepper, Chromax, Patented Ingredients - 60 Natural Veggie Pills",Sculpt,69.71,3.9,3332,2026-03-23T22:40:26Z
